snapshot,theme,method,pool_size,forward_return,dispersion,tracking_error,overlap
2024-12-31,半导体,hot_stock,67,0.0036702387955049876,,,
2024-12-31,新能源,concept,183,-0.024016510234424193,,,0.033444816053511704
2024-12-31,新能源,hot_stock,126,-0.0540952907978024,,,
2024-12-31,国企改革,hot_stock,228,-0.055722233710471025,,,
2025-01-27,人形机器人,concept,138,0.205517805288274,,,0.1111111111111111
2025-01-27,人形机器人,hot_stock,112,0.13590410360132843,,,
2025-01-27,半导体,concept,397,0.1088663638928995,,,0.05463182897862233
2025-01-27,半导体,hot_stock,47,0.14530103321502197,,,
2025-01-27,新能源,concept,183,0.10608766060798103,,,0.03529411764705882
2025-01-27,新能源,hot_stock,81,0.10411750263006136,,,
2025-01-27,国企改革,hot_stock,141,0.0895505538231598,,,
2025-02-28,人形机器人,concept,138,0.018425761699203846,,,0.1575091575091575
2025-02-28,人形机器人,hot_stock,178,-0.02484967029696461,,,
2025-02-28,半导体,concept,397,-0.017952826368388797,,,0.07710280373831775
2025-02-28,半导体,hot_stock,64,-0.057158019249023084,,,
2025-02-28,新能源,concept,183,-0.029047893919738943,,,0.05653710247349823
2025-02-28,新能源,hot_stock,116,-0.03196197763504105,,,
2025-02-28,国企改革,hot_stock,176,-0.036704969963537226,,,
2025-03-31,人形机器人,concept,138,-0.013976222000232852,,,0.15503875968992248
2025-03-31,人形机器人,hot_stock,160,-0.04358677582690973,,,
2025-03-31,半导体,concept,397,-0.031349510890300025,,,0.0585480093676815
2025-03-31,半导体,hot_stock,55,-0.03591171163911533,,,
2025-03-31,新能源,concept,183,-0.05126497675607611,,,0.05226480836236934
2025-03-31,新能源,hot_stock,119,-0.04516727488674532,,,
2025-03-31,国企改革,hot_stock,162,-0.021078683755860528,,,
2025-04-30,人形机器人,concept,138,0.02106359827700799,,,0.07423580786026202
2025-04-30,人形机器人,hot_stock,108,0.05467436395023495,,,
2025-04-30,半导体,concept,397,0.022730238053876084,,,0.07621247113163972
2025-04-30,半导体,hot_stock,69,0.05131947452405372,,,
2025-04-30,新能源,concept,183,0.04557137584685389,,,0.030418250950570342
2025-04-30,新能源,hot_stock,88,0.07738779142146934,,,
2025-04-30,国企改革,hot_stock,194,0.08451680642067472,,,
2025-05-29,人形机器人,concept,138,-0.00656210346968733,,,0.07627118644067797
2025-05-29,人形机器人,hot_stock,116,-0.01978015189513016,,,
2025-05-29,半导体,concept,397,0.07306203464758898,,,0.02576112412177986
2025-05-29,半导体,hot_stock,41,-0.008461246700675051,,,
2025-05-29,新能源,concept,183,0.10126940799037798,,,0.0398406374501992
2025-05-29,新能源,hot_stock,78,0.05040643053021476,,,
2025-05-29,国企改革,hot_stock,162,0.01802507105760176,,,
2025-06-30,人形机器人,concept,138,0.038978476784946814,,,0.07142857142857142
2025-06-30,人形机器人,hot_stock,72,0.026115433506026298,,,
2025-06-30,半导体,concept,397,0.043198092405482,,,0.06779661016949153
2025-06-30,半导体,hot_stock,44,-0.02902403375114504,,,
2025-06-30,新能源,concept,183,0.01638585150855021,,,0.09124087591240876
2025-06-30,新能源,hot_stock,116,-0.0041214540636921315,,,
2025-06-30,国企改革,hot_stock,175,0.004946054551619783,,,
2025-07-31,人形机器人,concept,138,0.12575768541046295,,,0.08292682926829269
2025-07-31,人形机器人,hot_stock,84,0.09625314604798252,,,
2025-07-31,半导体,concept,397,0.15626994068492484,,,0.024213075060532687
2025-07-31,半导体,hot_stock,26,0.13011795623764932,,,
2025-07-31,新能源,concept,183,0.11456416337442343,,,0.04240282685512368
2025-07-31,新能源,hot_stock,112,0.09738728194228119,,,
2025-07-31,国企改革,hot_stock,180,0.050594147957341074,,,
2025-08-29,人形机器人,concept,138,0.0828080812627372,,,0.11654135338345864
2025-08-29,人形机器人,hot_stock,159,0.027019703322541,,,
2025-08-29,半导体,concept,397,0.08678366901421297,,,0.07780320366132723
2025-08-29,半导体,hot_stock,74,0.03021670765547424,,,
2025-08-29,新能源,concept,183,0.12204545718153881,,,0.04827586206896552
2025-08-29,新能源,hot_stock,121,0.04240844942098421,,,
2025-08-29,国企改革,hot_stock,178,-0.023735329320398124,,,
2025-09-30,人形机器人,concept,138,-0.024014785874257538,,,0.125
2025-09-30,人形机器人,hot_stock,150,-0.025899994764908563,,,
2025-09-30,半导体,concept,397,-0.010489656024583516,,,0.1159090909090909
2025-09-30,半导体,hot_stock,94,-0.022346884772663445,,,
2025-09-30,新能源,concept,183,0.03161645799866908,,,0.10787172011661808
2025-09-30,新能源,hot_stock,197,0.0077412862125796345,,,
2025-09-30,国企改革,hot_stock,176,0.02221420150770248,,,
